m,z,ZAMS_L,ZAMS_T,ZAMS_age,young_exists,old_exists
1.3,0.001,0.7278,8777.5,11.609742185717545,1.0,1.0
1.35,0.001,0.7967,9096.7,10.491786447638603,1.0,1.0
1.36,0.001,0.8101,9160.1,10.252224503764543,1.0,1.0
1.37,0.001,0.8234,9223.2,10.242242756103128,1.0,1.0
1.38,0.001,0.8366,9286.9,10.0,1.0,1.0
1.39,0.001,0.8496,9349.5,10.0,1.0,1.0
1.4,0.001,0.8625,9412.2,10.0,1.0,1.0
1.42,0.001,0.888,9537.0,10.0,1.0,1.0
1.44,0.001,0.9131,9661.3,10.0,1.0,1.0
1.46,0.001,0.9377,9785.1,10.0,1.0,1.0
1.48,0.001,0.9619,9907.5,10.0,1.0,1.0
1.5,0.001,0.9859,10030.5,10.0,1.0,1.0
1.52,0.001,1.009,10150.2,10.0,1.0,1.0
1.54,0.001,1.0321,10271.0,10.0,1.0,1.0
1.56,0.001,1.0547,10390.6,10.0,1.0,1.0
1.58,0.001,1.0768,10508.8,10.0,1.0,1.0
1.6,0.001,1.0989,10627.5,10.0,1.0,1.0
1.62,0.001,1.1204,10744.2,10.0,1.0,1.0
1.64,0.001,1.1420000000000001,10862.7,10.0,1.0,1.0
1.66,0.001,1.1627,10976.6,10.0,1.0,1.0
1.68,0.001,1.1835,11092.5,10.0,1.0,1.0
1.7,0.001,1.203,11201.1,10.0,1.0,1.0
1.72,0.001,1.2228,11310.9,10.0,1.0,1.0
1.74,0.001,1.2426,11422.4,10.0,1.0,1.0
1.76,0.001,1.2631,11538.8,10.0,1.0,1.0
1.78,0.001,1.2825,11650.6,10.0,1.0,1.0
1.8,0.001,1.3013,11759.1,10.0,1.0,1.0
2.1,0.001,1.5553,13303.5,10.0,1.0,1.0
1.3,0.0012,0.7206,8683.2,12.56798996121378,1.0,1.0
1.35,0.0012,0.79,9001.1,11.061480215681668,1.0,1.0
1.36,0.0012,0.8035,9064.2,11.010837326032398,1.0,1.0
1.38,0.0012,0.8298,9188.8,10.571640428929957,1.0,1.0
1.4,0.0012,0.8559,9313.7,10.252224503764543,1.0,1.0
1.42,0.0012,0.8814,9437.6,10.0,1.0,1.0
1.44,0.0012,0.9065,9560.9,10.0,1.0,1.0
1.45,0.0012,0.9189,9622.2,10.0,1.0,1.0
1.46,0.0012,0.9312,9683.3,10.0,1.0,1.0
1.48,0.0012,0.9555,9805.5,10.0,1.0,1.0
1.5,0.0012,0.9794,9927.0,10.0,1.0,1.0
1.52,0.0012,1.0026,10046.0,10.0,1.0,1.0
1.54,0.0012,1.0256,10165.4,10.0,1.0,1.0
1.55,0.0012,1.0372,10225.8,10.0,1.0,1.0
1.56,0.0012,1.0484,10284.8,10.0,1.0,1.0
1.58,0.0012,1.0708,10402.7,10.0,1.0,1.0
1.6,0.0012,1.0928,10520.4,10.0,1.0,1.0
1.62,0.0012,1.1142,10635.0,10.0,1.0,1.0
1.64,0.0012,1.1355,10751.0,10.0,1.0,1.0
1.65,0.0012,1.1464,10810.4,10.0,1.0,1.0
1.66,0.0012,1.1563,10864.5,10.0,1.0,1.0
1.68,0.0012,1.1775,10981.3,10.0,1.0,1.0
